Index,Actual Value (USD),Predicted Value (USD)
Egypt-2020,3892416.9699999965,11073.912678825121
Egypt-2021,4621253.519999997,5390.039781206472
Egypt-2022,5054296.580000001,418.273163318732
El Salvador-2020,678126.0300000001,8953.887058597074
El Salvador-2021,790004.8099999994,7997.437746968605
El Salvador-2022,823521.2399999996,1121.5978225388778
Estonia-2021,542157.3000000002,926742.8271797919
Estonia-2022,707351.8399999997,50.87442745326079
Ethiopia-2020,592802.1999999995,102610537.19506688
Ethiopia-2021,691503.2100000001,12994.871598956819
Ethiopia-2022,577151.3300000002,291.6646899206037
Fiji-2020,208601.48000000007,106217.0881434188
Fiji-2021,245516.70000000022,772.0341448107512
Fiji-2022,343763.79,437.6424714387201
Finland-2021,602080.1199999996,995886.893545943
Finland-2022,652380.7199999995,34.102177822628015
Gambia-2020,2974.6000000000004,4642.956649840343
Gambia-2021,8114.929999999993,2174.824716297425
Gambia-2022,35198.20999999998,292.96823827664673
Georgia-2020,414584.2799999999,3461.9709800289415
Georgia-2021,550471.4800000001,46.440235918016775
Georgia-2022,587245.8399999996,60.04210363616127
Greece-2020,4774343.710000002,2153.466722027041
Guinea-2020,58875.30999999999,4726.816063869145
Guinea-2021,94233.06999999998,7203.156615063532
Guinea-2022,93369.17000000007,17183.11133842361
Guinea-Bissau-2020,118182.50999999991,68375.02524482488
Guinea-Bissau-2021,130915.97000000003,16434.672385388472
Guinea-Bissau-2022,185045.05000000008,4407.381525164256
Haiti-2020,21748.210000000017,10986.435522143598
Haiti-2021,22787.719999999987,237.86687269609945
Haiti-2022,15135.599999999991,688.2840540667067
Hungary-2020,4602469.050000002,2846440.70132274
Hungary-2021,5115500.289999999,1898863.5403810635
Hungary-2022,5585320.989999996,48.58169911895859
Iceland-2020,31748.83999999999,1416756.0554485314
Iceland-2021,40827.05999999999,446073.82584030763
Iceland-2022,42364.61999999997,2762.6414991278093
Iran (Islamic Republic of)-2020,2247311.8200000017,10081.479580528166
Iran (Islamic Republic of)-2021,2182903.3499999978,1759.4497301167978
Iran (Islamic Republic of)-2022,1449466.9700000002,32.1747846894023
Iraq-2020,104432.71,8241.606828073518
Iraq-2022,186497.88000000012,467.1018450471588
Ireland-2021,3117565.2700000014,307016.5414701084
Ireland-2022,3329566.690000001,66.62507072748996
Jamaica-2020,150161.71000000008,6142.553155344569
Jamaica-2021,163601.94999999992,439.72003857793027
Jamaica-2022,174821.6400000001,278.6501908979235
Jordan-2020,561570.39,164324.70956192687
Jordan-2021,754538.4100000004,128742.63854784863
Jordan-2022,503915.79000000027,509.25640944853535
Kazakhstan-2021,2754417.4,542.9672720027828
Kenya-2020,1153118.610000001,116757.37648360989
Kenya-2021,1187408.7799999996,615.7576555737372
Kenya-2022,1084758.4399999997,210.86753592354765
Kuwait-2020,212091.5500000001,262.2513808277304
Kuwait-2022,99434.24000000002,531.7850653154317
Kyrgyzstan-2020,157311.80000000008,11991554.097774908
Kyrgyzstan-2021,217324.36000000002,2452559.349393637
Lao People's Democratic Republic-2021,1114116.2300000004,36967.40095677831
Lao People's Democratic Republic-2022,1589601.3500000003,238320.22808341432
Latvia-2021,1352854.58,427339.85640351515
Latvia-2022,1844333.9300000013,299.98300253048194
Lebanon-2020,506385.12999999983,7670.777541084505
Lebanon-2021,544074.8099999998,381.6310076110069
Lebanon-2022,540948.5000000003,61.912873483714854
Lesotho-2021,94208.55999999994,18770.381202994606
Lesotho-2022,109988.59000000005,5205.943082015929
Liberia-2020,52557.14000000001,775.6447582982228
Liberia-2021,70492.77,227.30438793004208
Liberia-2022,94755.42000000003,231.87345904688783
Libya-2020,8675.230000000001,55043.77286465924
Libya-2021,4454.680000000003,2309.3743047387557
Libya-2022,10056.63999999999,412.39444645350545
Lithuania-2021,2982669.8,947055.6801617324
Lithuania-2022,3391897.140000003,154.018783520397
Luxembourg-2021,561104.5699999996,8113.244494266728
Malawi-2020,576682.13,54295.047803262445
Malawi-2021,677834.5699999995,1702.0059372893963
Malawi-2022,608703.4600000002,129.89028841129766
Mali-2020,29263.87999999998,31432.914251829778
Mali-2021,39371.18000000003,458.30695079199245
Mali-2022,29693.390000000018,855.2826011506319
Malta-2020,28293.87000000001,39.756120930795284
Malta-2021,30212.190000000006,17.790820345968726
Malta-2022,38992.93000000001,88.6135586240583
Mauritius-2020,205186.47000000003,6952.60945826701
Mauritius-2021,190420.16000000012,686.9155120882878
Mauritius-2022,224150.30999999982,728.2402504790358
Mongolia-2020,2885.850000000001,3828653.888475647
Mongolia-2021,88177.61999999992,64.07945675212865
Mongolia-2022,86628.13000000006,300.1163482740772
Montenegro-2020,14720.619999999986,32494.5390157185
Montenegro-2021,22899.48999999999,4716.45488940778
Montenegro-2022,15163.50999999999,99.31883850640126
Morocco-2020,3674097.369999998,5423.566125659953
Morocco-2021,4365650.320000004,824.3850845388974
Morocco-2022,4739316.189999997,186.31840155503792
Mozambique-2022,694492.9999999997,188.92987664226098
Myanmar-2020,3448094.550000001,37335719.14845362
Myanmar-2021,3526694.94,8940.286086183078
Myanmar-2022,3486365.9299999983,256.0268607785659
Namibia-2020,81829.34000000004,4451.151060072172
Namibia-2021,116944.54000000008,492.7794929865802
Namibia-2022,148916.39000000004,229.96853722287852
Nepal-2020,300905.61999999976,46278.182956595774
Nepal-2021,960444.8500000004,27398.81499353485
Nepal-2022,476176.06999999995,4851.3666327240935
New Zealand-2021,5606602.230000002,13284.23492583503
New Zealand-2022,5266539.3299999945,138.45717411893756
Nicaragua-2021,1059439.6600000001,4715.24509284496
Nicaragua-2022,1178447.350000001,973.9547283099366
Niger-2020,45773.55999999997,5304.258858581124
Niger-2021,45744.81999999998,1232.593944013864
Niger-2022,34526.07999999999,181.45070175933884
North Macedonia-2020,436451.7800000003,1434513.447135732
North Macedonia-2021,470570.19999999984,414146.5682431364
North Macedonia-2022,468296.39,1376.9981191347392
Norway-2020,234884.38000000018,2126163.9271101793
Norway-2021,279524.0900000001,526826.8965795961
Norway-2022,295153.1400000003,1197.2737906750035
Oman-2020,835876.3800000004,371642.05592474487
Oman-2022,582578.8199999995,3292.537660316686
Pakistan-2021,3535953.2300000023,3514.3166382007826
Pakistan-2022,3848233.880000001,320.0305323142162
Palestine-2020,57710.60999999998,395.82617032741956
Palestine-2021,88916.78999999995,352843.4909128069
Palestine-2022,67851.06999999998,84.03728637608572
Panama-2021,281672.17000000016,516.9337851221569
Panama-2022,254373.5399999999,123.87181064858011
Paraguay-2021,1652512.4299999988,96204.43777397272
Paraguay-2022,2322214.020000001,491.3585335741929
Philippines-2020,4704320.959999995,2326.305280606235
Philippines-2021,5171143.420000002,996.511455553941
Philippines-2022,5820961.360000003,220.03086538357908
Portugal-2020,4383037.8599999985,1362861.749882367
Portugal-2021,4978499.709999994,805435.3840032478
Portugal-2022,5643377.860000001,254.49601633308455
Qatar-2020,7180.969999999997,39339.43608974133
Qatar-2021,10428.040000000008,32749.553005563055
Qatar-2022,13974.660000000007,316.85290164475094
Republic of Korea-2020,3871044.119999999,735626.7711489171
Republic of Moldova-2021,876286.7800000005,1671894.1671051208
